,dataset_size,nmad,sigma_3,sigma_5,mean_res,max_res
0,1766.0,0.03172546544283508,11.66936790923825,6.645056726094004,0.0018181020913908166,0.00463261285245493
0,1673.0,0.03007536033259455,14.58670988654781,8.427876823338735,0.0008738061224879154,0.002407543004819908
0,1580.0,0.030706410641724764,12.479740680713128,7.6175040518638575,0.0022958564456454006,0.007069320260410987
0,1487.0,0.030816038288028178,11.831442463533225,5.834683954619125,0.0017262945722134723,0.004685617780924953
0,1394.0,0.02882607832578134,12.479740680713128,7.293354943273905,0.0015150952401135833,0.006964613578370422
0,1301.0,0.029876762279671468,15.07293354943274,8.427876823338735,0.002107847487328372,0.00525598384103164
0,1208.0,0.03055533958254657,11.831442463533225,5.9967585089141,0.002904910943386415,0.009744608963144741
0,1115.0,0.032235054278957356,14.26256077795786,8.914100486223662,0.0029922192241066048,0.007450715465981762
0,1022.0,0.031437115582966725,13.12803889789303,7.455429497568882,0.0024466912535449524,0.00511465654247278
0,929.0,0.03211708641412771,12.641815235008103,7.779578606158834,0.002280327840145491,0.006824228661594229
0,836.0,0.03401705074519864,16.097560975609756,9.59349593495935,0.0029201698670487993,0.01050359932072428
0,743.0,0.033560522561479345,14.58670988654781,7.779578606158834,0.0030499726723690027,0.006787697611554939
0,650.0,0.03490167176109847,15.559157212317668,7.779578606158834,0.0053839297581424325,0.012487637754259822
0,557.0,0.03626788226775939,17.3419773095624,9.076175040518638,0.004028344088818135,0.01102031912928353
0,464.0,0.036035974044962726,21.39384116693679,11.831442463533225,0.0032665902405427066,0.009662984053739282
0,371.0,0.0397472724348047,21.231766612641813,11.9935170178282,0.006628279461201302,0.020321970276412936
0,278.0,0.03637246406862519,22.366288492706644,12.641815235008103,0.009785315653940873,0.02555981546308376
0,185.0,0.04707908619212117,36.14262560777958,23.824959481361425,0.013322780917905596,0.03816273668346845
0,92.0,0.04720331048005252,46.808510638297875,33.06055646481178,0.021936609596870695,0.04564304399658023
0,60.0,0.0751729466241204,59.80551053484603,44.246353322528364,0.02904096770029428,0.06908793793278434
0,40.0,0.08693707303784716,66.72077922077922,54.22077922077923,0.0428613042774758,0.10884752037666921
0,20.0,0.11265117877046989,71.96110210696921,61.58833063209076,0.038388888556569314,0.09909754271827305
0,1859.0,0.030016022009879708,10.372771474878444,6.3209076175040515,0.0009677410605203888,0.002660775181557848
0,1766.0,0.03172546544283508,11.66936790923825,6.645056726094004,0.0018181020913908166,0.00463261285245493
0,1673.0,0.03007536033259455,14.58670988654781,8.427876823338735,0.0008738061224879154,0.002407543004819908
0,1580.0,0.030706410641724764,12.479740680713128,7.6175040518638575,0.0022958564456454006,0.007069320260410987
0,1487.0,0.030816038288028178,11.831442463533225,5.834683954619125,0.0017262945722134723,0.004685617780924953
0,1394.0,0.02882607832578134,12.479740680713128,7.293354943273905,0.0015150952401135833,0.006964613578370422
0,1301.0,0.029876762279671468,15.07293354943274,8.427876823338735,0.002107847487328372,0.00525598384103164
0,1208.0,0.03055533958254657,11.831442463533225,5.9967585089141,0.002904910943386415,0.009744608963144741
0,1115.0,0.032235054278957356,14.26256077795786,8.914100486223662,0.0029922192241066048,0.007450715465981762
0,1022.0,0.031437115582966725,13.12803889789303,7.455429497568882,0.0024466912535449524,0.00511465654247278
0,929.0,0.03211708641412771,12.641815235008103,7.779578606158834,0.002280327840145491,0.006824228661594229
0,836.0,0.03401705074519864,16.097560975609756,9.59349593495935,0.0029201698670487993,0.01050359932072428
0,743.0,0.033560522561479345,14.58670988654781,7.779578606158834,0.0030499726723690027,0.006787697611554939
0,650.0,0.03490167176109847,15.559157212317668,7.779578606158834,0.0053839297581424325,0.012487637754259822
0,557.0,0.03626788226775939,17.3419773095624,9.076175040518638,0.004028344088818135,0.01102031912928353
0,464.0,0.036035974044962726,21.39384116693679,11.831442463533225,0.0032665902405427066,0.009662984053739282
0,371.0,0.0397472724348047,21.231766612641813,11.9935170178282,0.006628279461201302,0.020321970276412936
0,278.0,0.03637246406862519,22.366288492706644,12.641815235008103,0.009785315653940873,0.02555981546308376
0,185.0,0.04707908619212117,36.14262560777958,23.824959481361425,0.013322780917905596,0.03816273668346845
0,92.0,0.04720331048005252,46.808510638297875,33.06055646481178,0.021936609596870695,0.04564304399658023
0,60.0,0.0751729466241204,59.80551053484603,44.246353322528364,0.02904096770029428,0.06908793793278434
0,40.0,0.08693707303784716,66.72077922077922,54.22077922077923,0.0428613042774758,0.10884752037666921
0,20.0,0.11265117877046989,71.96110210696921,61.58833063209076,0.038388888556569314,0.09909754271827305
0,1859.0,0.030016022009879708,10.372771474878444,6.3209076175040515,0.0009677410605203888,0.002660775181557848
0,1766.0,0.03172546544283508,11.66936790923825,6.645056726094004,0.0018181020913908166,0.00463261285245493
0,1673.0,0.03007536033259455,14.58670988654781,8.427876823338735,0.0008738061224879154,0.002407543004819908
0,1580.0,0.030706410641724764,12.479740680713128,7.6175040518638575,0.0022958564456454006,0.007069320260410987
0,1487.0,0.030816038288028178,11.831442463533225,5.834683954619125,0.0017262945722134723,0.004685617780924953
0,1394.0,0.02882607832578134,12.479740680713128,7.293354943273905,0.0015150952401135833,0.006964613578370422
0,1301.0,0.029876762279671468,15.07293354943274,8.427876823338735,0.002107847487328372,0.00525598384103164
0,1208.0,0.03055533958254657,11.831442463533225,5.9967585089141,0.002904910943386415,0.009744608963144741
0,1115.0,0.032235054278957356,14.26256077795786,8.914100486223662,0.0029922192241066048,0.007450715465981762
0,1022.0,0.031437115582966725,13.12803889789303,7.455429497568882,0.0024466912535449524,0.00511465654247278
0,929.0,0.03211708641412771,12.641815235008103,7.779578606158834,0.002280327840145491,0.006824228661594229
0,836.0,0.03401705074519864,16.097560975609756,9.59349593495935,0.0029201698670487993,0.01050359932072428
0,743.0,0.033560522561479345,14.58670988654781,7.779578606158834,0.0030499726723690027,0.006787697611554939
0,650.0,0.03490167176109847,15.559157212317668,7.779578606158834,0.0053839297581424325,0.012487637754259822
0,557.0,0.03626788226775939,17.3419773095624,9.076175040518638,0.004028344088818135,0.01102031912928353
0,464.0,0.036035974044962726,21.39384116693679,11.831442463533225,0.0032665902405427066,0.009662984053739282
0,371.0,0.0397472724348047,21.231766612641813,11.9935170178282,0.006628279461201302,0.020321970276412936
0,278.0,0.03637246406862519,22.366288492706644,12.641815235008103,0.009785315653940873,0.02555981546308376
0,185.0,0.04707908619212117,36.14262560777958,23.824959481361425,0.013322780917905596,0.03816273668346845
0,92.0,0.04720331048005252,46.808510638297875,33.06055646481178,0.021936609596870695,0.04564304399658023
0,60.0,0.0751729466241204,59.80551053484603,44.246353322528364,0.02904096770029428,0.06908793793278434
0,40.0,0.08693707303784716,66.72077922077922,54.22077922077923,0.0428613042774758,0.10884752037666921
0,20.0,0.11265117877046989,71.96110210696921,61.58833063209076,0.038388888556569314,0.09909754271827305
0,1859.0,0.030016022009879708,10.372771474878444,6.3209076175040515,0.0009677410605203888,0.002660775181557848
0,1766.0,0.03172546544283508,11.66936790923825,6.645056726094004,0.0018181020913908166,0.00463261285245493
0,1673.0,0.03007536033259455,14.58670988654781,8.427876823338735,0.0008738061224879154,0.002407543004819908
0,1580.0,0.030706410641724764,12.479740680713128,7.6175040518638575,0.0022958564456454006,0.007069320260410987
0,1487.0,0.030816038288028178,11.831442463533225,5.834683954619125,0.0017262945722134723,0.004685617780924953
0,1394.0,0.02882607832578134,12.479740680713128,7.293354943273905,0.0015150952401135833,0.006964613578370422
0,1301.0,0.029876762279671468,15.07293354943274,8.427876823338735,0.002107847487328372,0.00525598384103164
0,1208.0,0.03055533958254657,11.831442463533225,5.9967585089141,0.002904910943386415,0.009744608963144741
0,1115.0,0.032235054278957356,14.26256077795786,8.914100486223662,0.0029922192241066048,0.007450715465981762
0,1022.0,0.031437115582966725,13.12803889789303,7.455429497568882,0.0024466912535449524,0.00511465654247278
0,929.0,0.03211708641412771,12.641815235008103,7.779578606158834,0.002280327840145491,0.006824228661594229
0,836.0,0.03401705074519864,16.097560975609756,9.59349593495935,0.0029201698670487993,0.01050359932072428
