,dataset_size,nmad,sigma_3,sigma_5,mean_res,max_res
0,60.0,0.08819611341771047,53.80875202593193,43.11183144246353,0.01929098021882881,0.05478049926611123
0,60.0,0.08819611341771047,53.80875202593193,43.11183144246353,0.01929098021882881,0.05478049926611123
0,40.0,0.11531277428007039,58.34683954619124,47.3257698541329,0.03015885274457414,0.0823155499107873
0,20.0,0.12259569946899883,64.99189627228526,54.29497568881686,0.0328943287285504,0.10050042608230723
0,1859.0,0.03656979323819409,12.641815235008103,7.13128038897893,0.0006072313748272104,0.0014131217355243246
0,1766.0,0.03537364773623754,12.80388978930308,7.13128038897893,0.00120198183162658,0.003595189219432356
0,1673.0,0.03531366818583211,15.07293354943274,8.427876823338735,0.00047432109987045467,0.0020579350245516995
0,1580.0,0.03696645695233594,12.479740680713128,7.6175040518638575,0.0017110522467449101,0.005575827856521549
0,1487.0,0.03718192125689772,12.479740680713128,8.914100486223662,0.0016969605019495873,0.005055836559993863
0,1394.0,0.03614548625204896,12.80388978930308,7.6175040518638575,0.001102648456031801,0.005675888709001514
0,1301.0,0.03498055144905384,13.452188006482983,7.455429497568882,0.0010510597803115133,0.002780361916284254
0,1208.0,0.03739349690556778,10.85899513776337,6.3209076175040515,0.002090827820442919,0.006152430640614486
0,1115.0,0.03800024242445917,14.772727272727273,7.305194805194805,0.002808387084261024,0.006560487494773554
0,1022.0,0.037249313548907564,11.9935170178282,7.13128038897893,0.0021897433805475723,0.007071872799871987
0,929.0,0.035237481789225956,13.614262560777956,7.293354943273905,0.0019964635531779084,0.006640144428513901
0,836.0,0.03858958461068923,13.290113452188008,7.779578606158834,0.0014287872137392205,0.004684221495257914
0,743.0,0.038942190610512364,13.452188006482983,7.293354943273905,0.0012646915460918734,0.00418474414837197
0,650.0,0.03860904868682394,14.748784440842789,7.6175040518638575,0.0033841159640406932,0.00907142466377242
0,557.0,0.03919426981368002,14.100486223662884,8.427876823338735,0.0023084479902645088,0.006647076865732499
0,464.0,0.03989007660844472,19.611021069692057,11.831442463533225,0.002148302603302928,0.00586691475358176
0,371.0,0.04172405343653128,19.93517017828201,11.183144246353322,0.0032954025612029723,0.012502233530502218
0,278.0,0.041794923234889786,21.71799027552674,12.155591572123177,0.0058810064746515605,0.014890372520990671
0,185.0,0.05335143729455886,32.739059967585085,20.74554294975689,0.010340630533902433,0.02643068838331855
0,92.0,0.05568970274869572,37.03099510603589,25.28548123980424,0.013701596158767936,0.03180698636765268
0,60.0,0.08819611341771047,53.80875202593193,43.11183144246353,0.01929098021882881,0.05478049926611123
0,40.0,0.09018968270378526,61.426256077795784,48.46029173419773,0.03396653245077848,0.08838398146154193
0,20.0,0.12259569946899883,64.99189627228526,54.29497568881686,0.0328943287285504,0.10050042608230723
0,1859.0,0.03656979323819409,12.641815235008103,7.13128038897893,0.0006072313748272104,0.0014131217355243246
0,1766.0,0.03537364773623754,12.80388978930308,7.13128038897893,0.00120198183162658,0.003595189219432356
0,1673.0,0.03531366818583211,15.07293354943274,8.427876823338735,0.00047432109987045467,0.0020579350245516995
0,1580.0,0.03696645695233594,12.479740680713128,7.6175040518638575,0.0017110522467449101,0.005575827856521549
0,1487.0,0.03718192125689772,12.479740680713128,8.914100486223662,0.0016969605019495873,0.005055836559993863
0,1394.0,0.03614548625204896,12.80388978930308,7.6175040518638575,0.001102648456031801,0.005675888709001514
0,1301.0,0.03498055144905384,13.452188006482983,7.455429497568882,0.0010510597803115133,0.002780361916284254
0,1208.0,0.03739349690556778,10.85899513776337,6.3209076175040515,0.002090827820442919,0.006152430640614486
0,1115.0,0.03800024242445917,14.772727272727273,7.305194805194805,0.002808387084261024,0.006560487494773554
0,1022.0,0.037249313548907564,11.9935170178282,7.13128038897893,0.0021897433805475723,0.007071872799871987
0,929.0,0.035237481789225956,13.614262560777956,7.293354943273905,0.0019964635531779084,0.006640144428513901
0,836.0,0.03858958461068923,13.290113452188008,7.779578606158834,0.0014287872137392205,0.004684221495257914
0,743.0,0.038942190610512364,13.452188006482983,7.293354943273905,0.0012646915460918734,0.00418474414837197
0,650.0,0.03860904868682394,14.748784440842789,7.6175040518638575,0.0033841159640406932,0.00907142466377242
0,557.0,0.03919426981368002,14.100486223662884,8.427876823338735,0.0023084479902645088,0.006647076865732499
0,464.0,0.03989007660844472,19.611021069692057,11.831442463533225,0.002148302603302928,0.00586691475358176
0,371.0,0.04172405343653128,19.93517017828201,11.183144246353322,0.0032954025612029723,0.012502233530502218
0,278.0,0.041794923234889786,21.71799027552674,12.155591572123177,0.0058810064746515605,0.014890372520990671
0,185.0,0.05335143729455886,32.739059967585085,20.74554294975689,0.010340630533902433,0.02643068838331855
0,92.0,0.05568970274869572,37.03099510603589,25.28548123980424,0.013701596158767936,0.03180698636765268
0,60.0,0.08819611341771047,53.80875202593193,43.11183144246353,0.01929098021882881,0.05478049926611123
0,40.0,0.09018968270378526,61.426256077795784,48.46029173419773,0.03396653245077848,0.08838398146154193
0,20.0,0.12259569946899883,64.99189627228526,54.29497568881686,0.0328943287285504,0.10050042608230723
0,1859.0,0.03656979323819409,12.641815235008103,7.13128038897893,0.0006072313748272104,0.0014131217355243246
0,1766.0,0.03537364773623754,12.80388978930308,7.13128038897893,0.00120198183162658,0.003595189219432356
0,1673.0,0.03531366818583211,15.07293354943274,8.427876823338735,0.00047432109987045467,0.0020579350245516995
0,1580.0,0.03696645695233594,12.479740680713128,7.6175040518638575,0.0017110522467449101,0.005575827856521549
0,1487.0,0.03718192125689772,12.479740680713128,8.914100486223662,0.0016969605019495873,0.005055836559993863
0,1394.0,0.03614548625204896,12.80388978930308,7.6175040518638575,0.001102648456031801,0.005675888709001514
0,1301.0,0.03498055144905384,13.452188006482983,7.455429497568882,0.0010510597803115133,0.002780361916284254
0,1208.0,0.03739349690556778,10.85899513776337,6.3209076175040515,0.002090827820442919,0.006152430640614486
0,1115.0,0.03800024242445917,14.772727272727273,7.305194805194805,0.002808387084261024,0.006560487494773554
0,1022.0,0.037249313548907564,11.9935170178282,7.13128038897893,0.0021897433805475723,0.007071872799871987
0,929.0,0.035237481789225956,13.614262560777956,7.293354943273905,0.0019964635531779084,0.006640144428513901
0,836.0,0.03858958461068923,13.290113452188008,7.779578606158834,0.0014287872137392205,0.004684221495257914
0,743.0,0.038942190610512364,13.452188006482983,7.293354943273905,0.0012646915460918734,0.00418474414837197
0,650.0,0.03860904868682394,14.748784440842789,7.6175040518638575,0.0033841159640406932,0.00907142466377242
0,557.0,0.03919426981368002,14.100486223662884,8.427876823338735,0.0023084479902645088,0.006647076865732499
0,464.0,0.03989007660844472,19.611021069692057,11.831442463533225,0.002148302603302928,0.00586691475358176
0,371.0,0.04172405343653128,19.93517017828201,11.183144246353322,0.0032954025612029723,0.012502233530502218
0,278.0,0.041794923234889786,21.71799027552674,12.155591572123177,0.0058810064746515605,0.014890372520990671
0,185.0,0.05335143729455886,32.739059967585085,20.74554294975689,0.010340630533902433,0.02643068838331855
0,92.0,0.05568970274869572,37.03099510603589,25.28548123980424,0.013701596158767936,0.03180698636765268
0,60.0,0.08819611341771047,53.80875202593193,43.11183144246353,0.01929098021882881,0.05478049926611123
0,40.0,0.09018968270378526,61.426256077795784,48.46029173419773,0.03396653245077848,0.08838398146154193
0,20.0,0.12259569946899883,64.99189627228526,54.29497568881686,0.0328943287285504,0.10050042608230723
0,1859.0,0.03656979323819409,12.641815235008103,7.13128038897893,0.0006072313748272104,0.0014131217355243246
0,1766.0,0.03537364773623754,12.80388978930308,7.13128038897893,0.00120198183162658,0.003595189219432356
0,1673.0,0.03531366818583211,15.07293354943274,8.427876823338735,0.00047432109987045467,0.0020579350245516995
0,1580.0,0.03696645695233594,12.479740680713128,7.6175040518638575,0.0017110522467449101,0.005575827856521549
0,1487.0,0.03718192125689772,12.479740680713128,8.914100486223662,0.0016969605019495873,0.005055836559993863
0,1394.0,0.03614548625204896,12.80388978930308,7.6175040518638575,0.001102648456031801,0.005675888709001514
0,1301.0,0.03498055144905384,13.452188006482983,7.455429497568882,0.0010510597803115133,0.002780361916284254
0,1208.0,0.03739349690556778,10.85899513776337,6.3209076175040515,0.002090827820442919,0.006152430640614486
0,1115.0,0.03800024242445917,14.772727272727273,7.305194805194805,0.002808387084261024,0.006560487494773554
0,1022.0,0.037249313548907564,11.9935170178282,7.13128038897893,0.0021897433805475723,0.007071872799871987
0,929.0,0.035237481789225956,13.614262560777956,7.293354943273905,0.0019964635531779084,0.006640144428513901
0,836.0,0.03858958461068923,13.290113452188008,7.779578606158834,0.0014287872137392205,0.004684221495257914
0,743.0,0.038942190610512364,13.452188006482983,7.293354943273905,0.0012646915460918734,0.00418474414837197
0,650.0,0.03860904868682394,14.748784440842789,7.6175040518638575,0.0033841159640406932,0.00907142466377242
0,557.0,0.03919426981368002,14.100486223662884,8.427876823338735,0.0023084479902645088,0.006647076865732499
0,464.0,0.03989007660844472,19.611021069692057,11.831442463533225,0.002148302603302928,0.00586691475358176
0,371.0,0.04172405343653128,19.93517017828201,11.183144246353322,0.0032954025612029723,0.012502233530502218
0,278.0,0.041794923234889786,21.71799027552674,12.155591572123177,0.0058810064746515605,0.014890372520990671
0,185.0,0.05335143729455886,32.739059967585085,20.74554294975689,0.010340630533902433,0.02643068838331855
0,92.0,0.05568970274869572,37.03099510603589,25.28548123980424,0.013701596158767936,0.03180698636765268
0,60.0,0.08819611341771047,53.80875202593193,43.11183144246353,0.01929098021882881,0.05478049926611123
0,40.0,0.09018968270378526,61.426256077795784,48.46029173419773,0.03396653245077848,0.08838398146154193
0,20.0,0.12259569946899883,64.99189627228526,54.29497568881686,0.0328943287285504,0.10050042608230723
0,1859.0,0.03656979323819409,12.641815235008103,7.13128038897893,0.0006072313748272104,0.0014131217355243246
0,1766.0,0.03537364773623754,12.80388978930308,7.13128038897893,0.00120198183162658,0.003595189219432356
0,1673.0,0.03531366818583211,15.07293354943274,8.427876823338735,0.00047432109987045467,0.0020579350245516995
0,1580.0,0.03696645695233594,12.479740680713128,7.6175040518638575,0.0017110522467449101,0.005575827856521549
0,1487.0,0.03718192125689772,12.479740680713128,8.914100486223662,0.0016969605019495873,0.005055836559993863
0,1394.0,0.03614548625204896,12.80388978930308,7.6175040518638575,0.001102648456031801,0.005675888709001514
0,1301.0,0.03498055144905384,13.452188006482983,7.455429497568882,0.0010510597803115133,0.002780361916284254
0,1208.0,0.03739349690556778,10.85899513776337,6.3209076175040515,0.002090827820442919,0.006152430640614486
0,1115.0,0.03800024242445917,14.772727272727273,7.305194805194805,0.002808387084261024,0.006560487494773554
0,1022.0,0.037249313548907564,11.9935170178282,7.13128038897893,0.0021897433805475723,0.007071872799871987
0,929.0,0.035237481789225956,13.614262560777956,7.293354943273905,0.0019964635531779084,0.006640144428513901
0,836.0,0.03858958461068923,13.290113452188008,7.779578606158834,0.0014287872137392205,0.004684221495257914
